store,brand,week,logmove,Units sold,feat,price,Revenue,AGE60,EDUC,ETHNIC,INCOME,HHLARGE,WORKWOM,HVAL150,SSTRDIST,SSTRVOL,CPDIST5,CPWVOL5,Managers,,,,
2,tropicana,113,9.128696383,9216.000001,0,3.11,28661.76,0.232864734,0.248934934,0.114279949,10.55320518,0.103953406,0.303585347,0.463887065,2.110122129,1.142857143,1.927279669,0.376926613,Chris,,,,
2,minute.maid,141,10.01681624,22400.00005,1,2.09,46816.0001,0.232864734,0.248934934,0.114279949,10.55320518,0.103953406,0.303585347,0.463887065,2.110122129,1.142857143,1.927279669,0.376926613,Erin,,,,
2,minute.maid,155,9.852615222,19008,0,1.69,32123.51999,0.232864734,0.248934934,0.114279949,10.55320518,0.103953406,0.303585347,0.463887065,2.110122129,1.142857143,1.927279669,0.376926613,Erin,,,,
2,dominicks,117,9.727227587,16768,0,1.59,26661.12,0.232864734,0.248934934,0.114279949,10.55320518,0.103953406,0.303585347,0.463887065,2.110122129,1.142857143,1.927279669,0.376926613,Sam,,,,
2,dominicks,138,8.733594062,6208.000001,0,1.89,11733.12,0.117368032,0.32122573,0.053875277,10.92237097,0.103091585,0.410568032,0.535883355,3.801997814,0.681818182,1.600573425,0.736306837,Sam,,,,
2,tropicana,47,9.142489705,9343.999999,0,3.19,29807.36,0.272313368,0.072246456,0.074417144,10.39197554,0.097937631,0.313907719,0.093351946,1.980307092,0.666666667,1.684315129,0.154224764,Chris,,,,
21,tropicana,71,8.166216269,3520.000001,0,2.59,9116.800004,0.066896458,0.17750345,0.105038777,10.71619397,0.164179104,0.406070931,0.123485737,0.267524672,1.05,1.953944431,0.602073176,Chris,,,,
32,minute.maid,41,11.0289365,61632.0003,1,1.99,122647.6806,0.254953032,0.198259861,0.031938514,10.67447502,0.080251365,0.344152081,0.538346427,6.497971979,0.52173913,3.337253941,0.365659802,Erin,,,,
33,minute.maid,114,9.142489705,9343.999999,0,2.15,20089.6,0.134169965,0.419688004,0.130127179,10.34592726,0.013506356,0.472308288,0.862559242,3.129556199,2.416666667,0.867215261,0.752824617,Erin,,,,
33,minute.maid,158,9.447150114,12672,0,1.84,23316.48,0.134169965,0.419688004,0.130127179,10.34592726,0.013506356,0.472308288,0.862559242,3.129556199,2.416666667,0.867215261,0.752824617,Erin,,,,
40,minute.maid,54,7.82244473,2496.000001,0,2.62,6539.520003,0.1818518,0.072128605,0.044053067,10.55025042,0.126812989,0.306107955,0.068989386,1.086386161,0.4,1.28992007,0.444661211,Erin,,,,
40,minute.maid,95,9.875910785,19456,0,1.69,32880.64001,0.1818518,0.072128605,0.044053067,10.55025042,0.126812989,0.306107955,0.068989386,1.086386161,0.4,1.28992007,0.444661211,Erin,,,,
44,minute.maid,113,8.42156296,4543.999998,0,2.22,10087.68,0.190982776,0.329738388,0.037632074,10.86915875,0.116388096,0.340794382,0.64268521,6.134798707,0.615384615,1.64310311,0.539190205,Erin,,,,
44,dominicks,136,11.15647907,70016.00026,1,1.29,90320.64033,0.190982776,0.329738388,0.037632074,10.86915875,0.116388096,0.340794382,0.64268521,6.134798707,0.615384615,1.64310311,0.539190205,Sam,,,,
